channel_id,cluster_id,num_spikes,firing_rate,snr,presence_ratio,amplitude_cutoff,cv2,isi_violation_rate,isi_contamination_fraction,isi_violations_count,isolation_distance,l_ratio,d_prime,nearest_neighbor_hit_rate,nearest_neighbor_miss_rate,silhouette_score
304,1,1802,0.8460,3.0336,1.0000,0.0126,1.0577,0.0036,4.2636,39,806.6464,0.0072,2.6570,0.9800,0.1153,0.5483
304,2,295,0.1385,2.9265,0.3056,0.1060,0.8132,0.0079,57.1086,14,7.6745,2.0669,2.6570,0.8847,0.0200,0.5483
